moonID	moonMat1	moonMat2	MoonMat3	moonMat4
40308853 	9 	14 	0 	0
40308855 	4 	0 	0 	0
40308856 	9 	1 	0 	0
40308857 	15 	0 	0 	0
40308867 	0 	0 	0 	0
40308870 	0 	0 	0 	0
40308871 	0 	0 	0 	0
40308873 	0 	0 	0 	0
40308874 	0 	0 	0 	0
40308878 	0 	0 	0 	0
40308879 	0 	0 	0 	0
40308865 	9 	0 	0 	0
40308868 	9 	15 	1 	0
40308869 	9 	4 	0 	0
40308876 	7 	15 	0 	0
40308882 	7 	15 	0 	0
40308887 	14 	1 	0 	0
40308893 	14 	0 	0 	0
40308894 	4 	0 	0 	0
40308529 	7 	2 	15 	15
40308531 	0 	0 	0 	0
40308533 	0 	0 	0 	0
40308534 	0 	0 	0 	0
40308538 	0 	0 	0 	0
40308541 	0 	0 	0 	0
40308544 	0 	0 	0 	0
40308545 	0 	0 	0 	0
40308532 	9 	9 	7 	15
40308535 	9 	1 	0 	0
40308536 	9 	1 	0 	0
40308539 	9 	7 	0 	0
40308540 	9 	7 	14 	1
40308542 	9 	1 	0 	0
40308543 	8 	14 	1 	0
40308546 	9 	8 	0 	0
40308552 	0 	0 	0 	0
40308556 	0 	0 	0 	0
40308557 	0 	0 	0 	0
40308558 	0 	0 	0 	0
40308562 	0 	0 	0 	0
40308548 	9 	9 	0 	0
40308551 	15 	15 	0 	0
40308553 	9 	7 	0 	0
40308554 	9 	15 	0 	0
40308555 	7 	0 	0 	0
40308559 	9 	15 	0 	0
40308560 	9 	9 	0 	0
40308561 	7 	0 	0 	0
40308563 	9 	0 	0 	0
40308564 	0 	0 	0 	0
40308565 	0 	0 	0 	0
40308567 	9 	7 	14 	0
40308568 	9 	7 	15 	0
40308570 	15 	14 	1 	0
40308577 	2 	1 	0 	0
40308581 	9 	7 	15 	0
40308582 	9 	11 	0 	0
40308583 	7 	14 	1 	0
40308584 	15 	15 	0 	0
40308585 	7 	0 	0 	0
40308587 	15 	1 	0 	0
40308589 	1 	1 	0 	0
40045009 	0 	0 	0 	0
40045013 	14 	0 	0 	0
40045015 	0 	0 	0 	0
40308701  	8  	2  	14  	1
40308713 	0 	0 	0 	0
40308740 	15 	12 	0 	0
40308741 	2 	1 	0 	0
40308742 	0 	0 	0 	0
40308743 	15 	14 	0 	0
40308744 	0 	0 	0 	0
