itemID constellationID itemName
30000012 20000002 Asabona
30000015 20000002 Sendaya
30000017 20000003 Futzchag
30000018 20000003 Kazna
30000019 20000003 Podion
30000020 20000003 Lilmad
30000021 20000003 Kuharah
30000022 20000003 Jayneleb
30000044 20000007 Faspera
30000045 20000007 Jaymass
30000046 20000007 Mifrata
30000049 20000007 Camal
30000075 20000010 Assah
30000089 20000013 Sosa
30000090 20000013 Ilahed
30000091 20000013 Eshwil
30000092 20000013 Aranir
30000094 20000013 Hahyil
30000095 20000014 Asilem
30000096 20000014 Mahnagh
30000097 20000014 Shach
30000100 20000014 Timeor
30000102 20000014 Dysa
30000104 20000014 Mahti
30000114 20000016 Ubtes
30000115 20000016 Bimener
30000116 20000016 Kenobanala
30000117 20000016 Khabi
30000163 20000023 Akora
30000164 20000023 Messoya
30000195 20000028 Tasti
30000196 20000028 Otosela
30000197 20000028 Uemon
30000198 20000028 Paala
30000199 20000028 Fuskunen
30000200 20000028 Akkio
30000205 20000029 Obe
30000207 20000029 Osaa
30000208 20000030 LZ-6SU
30000209 20000030 MC6O-F
30000210 20000030 U54-1L
30000211 20000030 B-588R
30000212 20000030 NCGR-Q
30000213 20000030 G-LOIT
30000214 20000030 HE-V4V
30000215 20000031 N-HSK0
30000216 20000031 05R-7A
30000217 20000031 7-UH4Z
30000218 20000031 5ZO-NZ
30000219 20000031 FS-RFL
30000220 20000031 Y0-BVN
30000221 20000031 X97D-W
30000222 20000032 0-R5TS
30000223 20000032 H-UCD1
30000224 20000032 7-K5EL
30000225 20000032 H-5GUI
30000226 20000032 FH-TTC
30000227 20000032 FMBR-8
30000228 20000033 3HX-DL
30000229 20000033 UH-9ZG
30000230 20000033 NFM-0V
30000231 20000033 YXIB-I
30000232 20000033 MY-T2P
30000233 20000033 FA-DMO
30000234 20000033 GEKJ-9
30000235 20000033 Q-R3GP
30000236 20000033 N-5QPW
30000237 20000033 XV-8JQ
30000238 20000034 WBR5-R
30000239 20000034 4GYV-Q
30000240 20000034 4-HWWF
30000241 20000034 YMJG-4
30000242 20000034 8TPX-N
30000243 20000034 PM-DWE
30000244 20000035 K8X-6B
30000245 20000035 X445-5
30000246 20000035 KRUN-N
30000247 20000035 9OO-LH
30000248 20000035 V-OJEN
30000249 20000035 EIDI-N
30000250 20000035 P3EN-E
30000251 20000035 49-0LI
