itemID regionID itemName
20000002 10000001 Anares
20000003 10000001 Mamouna
20000007 10000001 Ananah
20000010 10000001 Bedaleya
20000013 10000001 Aguh
20000014 10000001 Mal
20000016 10000001 Joas
20000023 10000002 Ihatalo
20000028 10000002 Mivora
20000029 10000002 Orpana
20000030 10000003 U29-0S
20000031 10000003 BUG6-X
20000032 10000003 OSJ7-I
20000033 10000003 DMXN-3
20000034 10000003 I89-EP
20000035 10000003 Z-DO53
20000036 10000003 YUT3-U
20000037 10000003 5YHF-H
20000038 10000003 UK-MI6
20000039 10000003 YDS0-Y
20000040 10000003 A3-T8B
20000041 10000003 DILJ-7
20000042 10000003 0-8MWQ
20000043 10000003 F-V9QW
20000044 10000003 E-8CSQ
20000045 10000003 9KX-M0
20000046 10000003 88G-M4
20000047 10000004 L5-H1O
20000048 10000004 J-4QD7
20000049 10000004 LC-AQD
20000050 10000004 7PUP-K
20000051 10000004 V8UW-M
20000052 10000004 T7B-VB
20000053 10000004 B-PHYN
20000054 10000004 9RW5-Z
20000055 10000004 VL-OGL
20000056 10000004 VW-JMB
20000058 10000004 RO-AZT
20000060 10000004 FL-TD4
20000063 10000005 GJH-1C
20000064 10000005 RFQ-8Y
20000065 10000005 MZ-PA2
20000066 10000005 5F8-PZ
20000067 10000005 PR-ACX
20000068 10000005 5P4-QA
20000069 10000005 1RG-GU
20000070 10000005 ZPI-2E
20000071 10000005 D-95MV
20000072 10000005 3R-BJL
20000073 10000005 T875-C
20000074 10000005 4SRW-B
20000075 10000005 HOV-VI
20000076 10000005 NZU8-G
20000077 10000006 0FC-ZX
20000078 10000006 AC-RON
20000079 10000006 RF9-ZU
20000080 10000006 DJ-XCW
20000081 10000006 3GK-WS
20000082 10000006 5ZR-29
20000083 10000006 J-9M7D
20000084 10000006 R-M719
20000085 10000006 5Y1E-3
20000086 10000006 760-9C
20000087 10000006 4-QV2L
20000088 10000006 GU-JZ1
20000089 10000007 BVA-YH
20000090 10000007 VS-8P0
20000091 10000007 5HN-S5
20000092 10000007 Y-JSM8
20000093 10000007 VSC-W9
20000094 10000007 FQ-COP
20000095 10000007 MRC-29
20000096 10000008 51ZT-6
20000097 10000008 4YFT-F
20000098 10000008 P-I9PF
20000099 10000008 ENP-SH
20000100 10000008 Y-M7ML
20000101 10000008 QI1M-Q
20000102 10000008 7VJ-7M
20000103 10000008 02QH-A
20000104 10000008 WQZ8-4
20000105 10000008 DITJ-X
20000106 10000008 YCM-AI
20000107 10000008 CN5-F2
20000108 10000009 IV-LWJ
20000109 10000009 U-EUG7
20000110 10000009 E-95ID
20000111 10000009 8-4EFQ
20000112 10000009 Z-ONUI
20000113 10000009 QA-P7J
20000114 10000009 UR-HG4
20000115 10000009 0YMH-Q
20000116 10000009 0EA3-8
20000117 10000009 0-YMZM
20000118 10000009 N5V-Y0
